artist_name;symbol;token_count;index_symbol_artist
Red Hot Chilli Peppers;dream;61;16
Red Hot Chilli Peppers;war/weapons;57;17
Red Hot Chilli Peppers;freedom;48;18
Red Hot Chilli Peppers;bad words;47;19
Red Hot Chilli Peppers;fire;40;20
Red Hot Chilli Peppers;cities;35;21
Red Hot Chilli Peppers;hell;32;22
Red Hot Chilli Peppers;sex;31;23
Red Hot Chilli Peppers;crime;18;24
Red Hot Chilli Peppers;killing;18;25
Red Hot Chilli Peppers;hate;13;26
Red Hot Chilli Peppers;darkness;11;27
Red Hot Chilli Peppers;destruction;8;28
Red Hot Chilli Peppers;money;8;29
Red Hot Chilli Peppers;the hood;8;30
Red Hot Chilli Peppers;bitch;7;31
